SMILES,Target,Binding_Affinity
C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N(C)CCN(C)C,Lung (EGFR),25.0
C=CC(=O)Nc1cc(Nc2nccc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1SCCN(C)C,Lung (EGFR),1.0
C=CC(=O)Nc1cc(Nc2nccc(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N1CCOCC1,Lung (EGFR),25.0
CN(c1cccc(Br)c1)c1nc(N)nc2[nH]c(Cc3ccccc3)cc12,Lung (EGFR),53100.0
CN(c1cccc(Br)c1)c1nc(N)nc2c1cc(Cc1ccccc1)n2C,Lung (EGFR),253600.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CC5CCC(C4)N5C(C)=O)cc3OC)ncc2C(F)(F)F)c1,Lung (EGFR),6200.0
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,Lung (EGFR),3860.0
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,Lung (EGFR),1400.0
C[C@@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,Lung (EGFR),191.0
COCCOc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC,Lung (EGFR),52.8
OB(O)c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,Lung (EGFR),650.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,Lung (EGFR),88.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cc3OC)ncc2C(F)(F)F)c1,Lung (EGFR),1.5
COc1cc2cc(-c3cc(OC)c(OC)c(OC)c3)cnc2cc1OC,Lung (EGFR),20000.0
O=c1c2ccccc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2Cl)s1,Lung (EGFR),78230.0
CCN(CC)C/C=C/C(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,Lung (EGFR),9.0
CN1CCN(C/C=C/C(=O)N2CCc3c(sc4ncnc(N[C@H](CO)c5ccccc5)c34)C2)CC1,Lung (EGFR),89.0
C=CS(=O)(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,Lung (EGFR),2480.0
O=C(/C=C/CN1CCOCC1)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,Lung (EGFR),1399.0
CC[C@@H](Nc1ncnc2sc3c(c12)CCN(C(=O)/C=C/CN(C)C)C3)c1ccccc1,Lung (EGFR),5750.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,Lung (EGFR),2.1
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C,Lung (EGFR),6.0
COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,Lung (EGFR),6.0
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,Lung (EGFR),9.0
CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,Lung (EGFR),100.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,Lung (EGFR),40.0
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,Lung (EGFR),690.0
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,Lung (EGFR),5.0
COc1ccc(Nc2ncnc3cccc(OC4CCN(C)CC4)c23)cc1Cl,Lung (EGFR),1800.0
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,Lung (EGFR),5.0
